Date,MT Close,WSJ Close,Open,High,Low,Yahoo Close,Volume,Close
1938-12-22,150.53,,,,,,,150.53
1938-12-23,151.39,,,,,,,151.39
1938-12-24,151.38,,,,,,,151.38
1938-12-27,150.43,,,,,,,150.43
1938-12-28,151.45,,,,,,,151.45
1938-12-29,153.62,,,,,,,153.62
1938-12-30,154.36,,,,,,,154.36
1938-12-31,154.76,,,,,,,154.76
1939-01-03,153.64,,,,,,,153.64
1939-01-04,154.85,,,,,,,154.85
1939-01-05,153.18,,,,,,,153.18
1939-01-06,152.87,,,,,,,152.87
1939-01-07,151.54,,,,,,,151.54
1939-01-09,150.19,,,,,,,150.19
1939-01-10,150.48,,,,,,,150.48
1939-01-11,148.65,,,,,,,148.65
1939-01-12,147.33,,,,,,,147.33
1939-01-13,146.52,,,,,,,146.52
1939-01-14,148.26,,,,,,,148.26
1939-01-16,148.26,,,,,,,148.26
1939-01-17,148.93,,,,,,,148.93
1939-01-18,148.99,,,,,,,148.99
1939-01-19,149.47,,,,,,,149.47
1939-01-20,149.11,,,,,,,149.11
1939-01-21,146.76,,,,,,,146.76
1939-01-23,141.32,,,,,,,141.32
1939-01-24,141.35,,,,,,,141.35
1939-01-25,140.72,,,,,,,140.72
